연번,유형,메인 카테고리,제목,질문,보기1,보기2,보기3,보기4,정답,해설
1,4지선다,운영체제,임시제목,운영 체제가 제공하는 기능에 해당하지 않는 것은 무엇인가요?,메모리 관리,CPU 스케줄링,애플리케이션 개발,입출력 관리,3,운영 체제의 주요 기능은 자원 관리와 시스템 보호입니다. 애플리케이션 개발은 운영 체제의 기능이 아니라 개발 도구나 IDE가 수행하는 역할입니다.
2,4지선다,운영체제,임시제목,프로세스 상태 중 'Blocked' 상태는 어떤 경우에 발생하나요?,CPU가 할당된 상태,프로세스가 생성되는 중,입출력(I/O) 작업을 기다리는 중,실행을 마친 상태,3,Blocked 상태는 프로세스가 I/O 요청을 기다리거나 특정 이벤트가 발생하기를 기다리는 상황에서 발생합니다. 이 상태에서는 CPU가 할당되지 않습니다.
3,4지선다,운영체제,임시제목,다음 중 메모리 단편화(fragmentation)에 관한 설명으로 옳은 것은 무엇인가요?,외부 단편화는 고정 분할에서 발생한다.,내부 단편화는 할당되지 않은 메모리 공간을 나타낸다.,외부 단편화는 메모리에 작은 조각이 남아 프로세스를 할당하지 못하는 문제이다.,내부 단편화는 연속적인 메모리 할당에서 발생하지 않는다.,3,"외부 단편화는 메모리 공간이 조각화되어 프로세스가 할당되지 못하는 문제를 의미합니다. 메모리의 빈 공간이 있지만, 연속된 크기의 메모리가 부족해 할당이 어려운 상황입니다."
4,4지선다,운영체제,임시제목,MMU(Memory Management Unit)의 주요 기능이 아닌 것은 무엇인가요?,논리적 주소를 물리적 주소로 매핑,메모리 보호,프로세스 스케줄링,주소 바인딩,2,MMU는 논리적 주소를 물리적 주소로 변환하고 메모리 보호를 담당하는 장치입니다. 프로세스 스케줄링은 운영 체제가 수행하는 별도의 작업입니다.
5,4지선다,운영체제,임시제목,프로세스 간 통신 방식 중에서 특정 주기마다 CPU가 장치 상태를 확인하여 이벤트를 처리하는 방식은 무엇인가요?,인터럽트,폴링(Polling),DMA,페이지 교체,2,"폴링(Polling)은 CPU가 주기적으로 장치 상태를 확인하여 이벤트를 처리하는 방식으로, 인터럽트와 달리 CPU 자원을 소모하는 단점이 있습니다."
6,4지선다,운영체제,임시제목,사용자 모드와 커널 모드를 구분하는 이유는 무엇인가요?,메모리 사용량을 줄이기 위해,다중 프로그래밍을 구현하기 위해,시스템 자원을 보호하기 위해,CPU 성능을 높이기 위해,3,"사용자 모드와 커널 모드를 구분하는 이유는 시스템 자원을 보호하기 위함입니다. 커널 모드에서는 운영 체제의 중요한 작업을 수행하며, 잘못된 명령이 시스템에 영향을 미칠 수 있습니다."
7,4지선다,운영체제,임시제목,페이징에서 발생하는 메모리 접근 속도 저하 문제를 해결하기 위해 사용되는 하드웨어 장치는 무엇인가요?,DMA,TLB (Translation Look-aside Buffer),MMU,PCB,2,TLB는 메모리 접근 속도를 개선하기 위해 주소 변환 정보를 캐싱하는 장치입니다. 이를 통해 페이지 테이블을 매번 조회할 필요 없이 빠르게 메모리에 접근할 수 있습니다.
8,4지선다,운영체제,임시제목,데드락의 4가지 조건 중 한 프로세스가 자원을 점유하면서 다른 자원을 얻기 위해 대기하는 조건은 무엇인가요?,Mutual Exclusion,Hold and Wait,No Preemption,Circular Wait,2,"Hold and Wait는 데드락의 발생 조건 중 하나로, 프로세스가 이미 자원을 점유한 상태에서 다른 자원을 기다리는 상황을 의미합니다. 이 조건이 충족될 때 데드락이 발생할 수 있습니다."
9,4지선다,운영체제,임시제목,"가상 메모리에서, 프로세스가 참조하려는 페이지가 메모리에 없을 때 발생하는 현상은 무엇인가요?",캐시 미스,페이지 부재 (Page Fault),버스 에러,세그먼트 결함,2,"페이지 부재(Page Fault)는 프로세스가 요청한 페이지가 메모리에 없을 때 발생하는 현상입니다. 이 경우, 해당 페이지를 디스크에서 메모리로 불러와야 하므로 시간이 소요됩니다."
10,4지선다,운영체제,임시제목,다음 중 스레드의 정의에 가장 부합하는 것은 무엇인가요?,프로세스와 동일한 실행 단위,프로세스 내에서의 실행 단위,서로 독립적인 실행 단위,데이터 저장 단위,2,스레드는 프로세스 내에서 독립적으로 실행되는 작업 단위입니다. 프로세스 내에 여러 스레드를 두어 자원을 공유하며 실행할 수 있습니다.
